id,Comment,Label,source_label
ext_00000,Tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,Non-Hate,Not_offensive
ext_00001,Movie rerelease madi plss,Non-Hate,Not_offensive
ext_00002,Amazon prime alli bittidira....yella manele nodtare....,Non-Hate,Not_offensive
ext_00003,Guru sure news nanu tik tok dawn lod madeda yavaga nama nDudu tindu nama dashda mala uddha madaka bandro avaga deleted,Non-Hate,Not_offensive
ext_00004,Ade old same story,Hate,Offensive_Targeted_Insult_Group
ext_00005,E tara film ge ella kaitaididdu.... Welcooome..... Item song iro,Non-Hate,Not_offensive
ext_00006,Super  guru 🥰,Non-Hate,Not_offensive
ext_00007,Different aagide song... n,Non-Hate,Not_offensive
ext_00008,ನಿಜವಾಗಿಯೂ  ಅದ್ಭುತ heartly heltidini... plz avrigella namma nimmellara supprt beku,Non-Hate,Not_offensive
ext_00009,I'm speechless,Non-Hate,Not_offensive
ext_00010,BLACK HEART ala,Non-Hate,Not_offensive
ext_00011,Randhawa movie 10 rating ide,Non-Hate,Not_offensive
ext_00012,Eno ontara chnnagide annoru like madi🤔🤔🤔🤔🤔🤔🤔🤔🤔,Non-Hate,Not_offensive
ext_00013,Bindu gowda ge super agi ugididdeera,Hate,Offensive_Targeted_Insult_Individual
ext_00014,Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,Hate,Offensive_Targeted_Insult_Individual
ext_00015,Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,Non-Hate,Not_offensive
ext_00016,@Troll Stupid Fans heno helkodthidallla  adunna helkodo munche neenu kaltho henge irbeku antha suvar gandu anthidde ivga ninge baididke thika huritha,Hate,Offensive_Targeted_Insult_Individual
ext_00017,tippa yappa supper,Non-Hate,Not_offensive
ext_00018,Yar guru ninu.....super,Non-Hate,Not_offensive
ext_00019,@prithvi nayak nimma Amman tulla suledeepa movie yavdu hit aagide helu recent aagi bandidralli,Hate,Offensive_Targeted_Insult_Individual
ext_00020,Really nyc sakath chenagi madidira nange esta aythu. Super riii adrallu tiktok dattu putra nna sakath roast madi heltini...,Non-Hate,Not_offensive
ext_00021,ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ film nodo munchene ee song ista adavaru like madi,Non-Hate,Not_offensive
ext_00022,Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna,Hate,Offensive_Targeted_Insult_Group
ext_00023,Nice story accting super prajval devraaj,Non-Hate,Not_offensive
ext_00024,Bro sorry ond matu nang eetara troll madodu ella ishta agtirlilla first time nimm videos nodi sakkath kushiaytu nd ur video really give a good msg,Non-Hate,Not_offensive
ext_00025,love you shankar sir ........namage neevu beku sir !!! matte neevu nammanna manaranjane maadi neevu illade iro kannada cinema naanu nodalla sir .....,Non-Hate,Not_offensive
ext_00026,SUPER  R  BOSS,Non-Hate,Not_offensive
ext_00027,All industries are going hands up.. 27kke avanu bandaga,Non-Hate,Not_offensive
ext_00028,Hoooo super guru nin voice bhal superrrr,Non-Hate,Not_offensive
ext_00029,Delete hadru nanu downloade made,Non-Hate,Not_offensive
ext_00030,Rakshit shetty superb,Non-Hate,Not_offensive
ext_00031,Darshan Sir swalpa sahaya madidare,Non-Hate,Not_offensive
ext_00032,Super sir namge thumba istavada kathe nam parents ge kelisbeku aadastu bega idanna,Non-Hate,Not_offensive
ext_00033,Barri dabba movie ne unn maado du,Hate,Offensive_Targeted_Insult_Group
ext_00034,Sir naanu Visakhapatnam li iradhu,Non-Hate,Not_offensive
ext_00035,real life great sir,Non-Hate,Not_offensive
ext_00036,@Manju Sonu  ಅಭಿನಂದನೆ,Non-Hate,Not_offensive
ext_00037,Inspired from korean movie Midnight Runners,Non-Hate,Not_offensive
ext_00038,Awsome movie must match movie,Non-Hate,Not_offensive
ext_00039,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Non-Hate,Not_offensive
ext_00040,Yes Nam ura hudgange mosa Madi hodlu ..amele Nam Karnataka kk avmana madidlu avlige yakadru hode ansbeku,Hate,Offensive_Targeted_Insult_Individual
ext_00041,I hate tiktok mobile thagondagindanu install made illa i hate this,Hate,Offensive_Targeted_Insult_Other
ext_00042,Howdu GurunAdre climax papa,Non-Hate,Not_offensive
ext_00043,Dis like hakorge ond math hekok esta padthini nimig esta agilla andre sumne erbod alva yak sumne dislike hakthira ... Ade bere bhashed est kacchada edru like hakthira alva nimmanthor erodrindane Kannada movies ast hesru madtha illa ...,Hate,Offensive_Targeted_Insult_Group
ext_00044,Le gandunTikamucchunnEe Tara worst song nin kayalli madakke agutta,Hate,Offensive_Targeted_Insult_Other
ext_00045,E song ero range ge 3to.5 millone agbekittu,Non-Hate,Not_offensive
ext_00046,kelsa maddidare anna Modiji,Non-Hate,Not_offensive
ext_00047,Chalu ati nataka,Non-Hate,Not_offensive
ext_00048,Previous video dalli sai Kumar diolauge,Non-Hate,Not_offensive
ext_00049,Hands up - 308k likes nBelageddu - 308k likes,Hate,Offensive_Targeted_Insult_Other
ext_00050,Super sir baigla sir,Non-Hate,Not_offensive
ext_00051,Tik tok shata,Hate,Offensive_Targeted_Insult_Group
ext_00052,Yakebdre krishnana shapa aduke,Non-Hate,Not_offensive
ext_00053,Hidden detail in  trailer of Avane Srimanarayana....n,Non-Hate,Not_offensive
ext_00054,Elli politics jasti and beliyokke bedalla hotte kirchu padthare,Hate,Offensive_Targeted_Insult_Group
ext_00055,All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz,Hate,Offensive_Targeted_Insult_Group
ext_00056,Dislike kon kiya re m###₹##0d 🤗..,Hate,Offensive_Targeted_Insult_Other
ext_00057,Le maraya ninu nijavaglu hero Kano super mama ninna madirodhu video 🥰,Non-Hate,Not_offensive
ext_00058,@Sharath T urkondu sayri sulemakalla 1 year 3 blockbuster BOSS,Hate,Offensive_Targeted_Insult_Individual
ext_00059,Bro nim editing spr nan nim videos fan e video Dali heliro song matrA spr,Non-Hate,Not_offensive
ext_00060,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,Non-Hate,Not_offensive
ext_00061,@Sachin Y S ik pakka avara irtar,Non-Hate,Not_offensive
ext_00062,Prajwal look is different,Non-Hate,Not_offensive
ext_00063,Super songs bro,Non-Hate,Not_offensive
ext_00064,Nakkan benki guru,Non-Hate,Not_offensive
ext_00065,Heart touching comment nnE kelsa aagbeku !!,Non-Hate,Not_offensive
ext_00066,Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,Hate,Offensive_Targeted_Insult_Group
ext_00067,D boss fanzzz in Sakaleshpur,Non-Hate,Not_offensive
ext_00068,No way chance illa  ivaga elli edane proof kodi  nambteevi,Hate,Offensive_Targeted_Insult_Group
ext_00069,Sakkatt agine   kyakirsi  ugdidira  sir,Non-Hate,Not_offensive
ext_00070,ASN movie na 1st day 1st show nodoru like maadi,Non-Hate,Not_offensive
ext_00071,@Gaurish Akki Studio  please all over karnatakadalli 150 theater alli re release maadodakke heli diya movie annu,Non-Hate,Not_offensive
ext_00072,Kathe tumba ista aythu..,Non-Hate,Not_offensive
ext_00073,Rashmika haters like madi,Hate,Offensive_Targeted_Insult_Group
ext_00074,anna sakatagi matadidya  i like you  anna,Non-Hate,Not_offensive
ext_00075,Gentleman sir nevu,Non-Hate,Not_offensive
ext_00076,Superrrrrrrr  agi heliya Anna tq u so mach video,Non-Hate,Not_offensive
ext_00077,One time kelidre average ansatte,Non-Hate,Not_offensive
ext_00078,E video na unlike madoru nijavaglu kannads davaru ala,Hate,Offensive_Targeted_Insult_Group
ext_00079,KGF chaffer 2 beda bare baku,Non-Hate,Not_offensive
ext_00080,Karnataka one state but many world,Non-Hate,Not_offensive
ext_00081,@Nandi Parthasarathi nanna shanta samana Bollywood Hollywood sulemagne modlu ninna ಮಾತೃಭಾಷೆ ಬೆಳಸು adu yare hero aagli,Hate,Offensive_Targeted_Insult_Individual
ext_00082,Song hosa tara feel kodute,Non-Hate,Not_offensive
ext_00083,Prathiyobbara ಜೀವನ Da ಆಸೆಗಳು,Non-Hate,Not_offensive
ext_00084,Kakka is ossm lol,Non-Hate,Not_offensive
ext_00085,Gud job  nim nirdharakke nimma kelasakke Namma gowrava namaskara. kanditha nimge olle role kodo buddi nirdeshakarige  haagu kannda industry ge barabeku...,Non-Hate,Not_offensive
ext_00086,Sorry theaters ge bardiddakke....best movie,Non-Hate,Not_offensive
ext_00087,@*V C R* guru edunna modlu bale fansge helu avru start madidare nau end madthivi,Non-Hate,Not_offensive
ext_00088,Sir.nivu superb sir.,Non-Hate,Not_offensive
ext_00089,E mathu,Non-Hate,Not_offensive
ext_00090,Day ge 600K+ Views nEn haavli Guru,Non-Hate,Not_offensive
ext_00091,@TROLL MONSTER_KANNADA nim Amman kalsu thoristhini,Hate,Offensive_Targeted_Insult_Individual
ext_00092,Elru nodle bekadaa video..,Non-Hate,Not_offensive
ext_00093,Ondu trailer cut madak saryag baralla.trailet nodokke kasta agthide,Hate,Offensive_Targeted_Insult_Group
ext_00094,@TROLL MONSTER_KANNADA nim ammange nan hakde tunne nathangi siktale avl na vrdashramkke serstini yakandre ninge nodkollake yogyate illa adukkehogo jumper( chupper),Hate,Offensive_Targeted_Insult_Individual
ext_00095,So 374 jana rashmika fans music video nodidare illi ವರಗೆ.,Non-Hate,Not_offensive
ext_00096,Thankz bro troll alla bro Roast,Non-Hate,Not_offensive
ext_00097,Nav gottala d boss fans,Non-Hate,Not_offensive
ext_00098,Yes re release madbeku,Non-Hate,Not_offensive
ext_00099,Boring song .....astu power illa....not like KGF,Hate,Offensive_Targeted_Insult_Group
ext_00100,@Sweekar Gowdaadyaru badavarige Uta sigtilla ande yallo nAa place n mobile number kalsu nNim mane hatra tane,Hate,Offensive_Targeted_Insult_Individual
ext_00101,Sakath beats..Matte Matte kelabeku anno song..,Non-Hate,Not_offensive
ext_00102,ಸೂಪರ್ story kannada savira,Non-Hate,Not_offensive
ext_00103,Mahesh. Sanagoudar. Bhagojikoppa,Non-Hate,Not_offensive
ext_00104,Super making super cinematography,Non-Hate,Not_offensive
ext_00105,guru despande olle director kate na channagi toeisutare,Non-Hate,Not_offensive
ext_00106,@AJITH S SHETTY nanu karthik shetty manglurininda,Non-Hate,Not_offensive
ext_00107,S super chamayya mestre nimma valletana,Non-Hate,Not_offensive
ext_00108,Every day i am listening,Non-Hate,Not_offensive
ext_00109,Appu boss kade enda.    Asn.  Movie ge.  Full support edhe,Non-Hate,Not_offensive
ext_00110,Amazed Amazing Amazefull,Non-Hate,Not_offensive
ext_00111,Super movi yallru nodi tumbba tumbba istavada movi,Non-Hate,Not_offensive
ext_00112,India kudda Munde baruthe But late....navella Odmele,Non-Hate,Not_offensive
ext_00113,12 dislikes by gandu nanmakalu,Hate,Offensive_Targeted_Insult_Other
ext_00114,Le tukali like dislike janakke bittaddu,Hate,Offensive_Targeted_Insult_Group
ext_00115,@Dhee Pu Lo goobe rama. Artha iro hage enadru helodidre helu. Sumne tirukalandi thara koribeda.... Madu annodu kriyapada anta nanagoo gottu. Adre 'madu' annodara jote ondu namapada irbeku. Agle vakya sampoornavagodu. kelasa mdu,Hate,Offensive_Targeted_Insult_Individual
ext_00116,Rashmika Thu..l.l.i irve ankoavro ondu like,Hate,Offensive_Targeted_Insult_Individual
ext_00117,Kannada super song,Non-Hate,Not_offensive
ext_00118,Jai d boss appu,Non-Hate,Not_offensive
ext_00119,Lo gube don't compare anyone yellaru namma kannada super star,Hate,Offensive_Targeted_Insult_Individual
ext_00120,Bro Game yavdu Adu,Non-Hate,Not_offensive
ext_00121,@kannadigaru S uh,Non-Hate,Not_offensive
ext_00122,Well msg guru,Non-Hate,Not_offensive
ext_00123,Rakshith shetti luck like shankarnag,Hate,Offensive_Targeted_Insult_Individual
ext_00124,Hindi song bittilva?,Non-Hate,Not_offensive
ext_00125,Super creative kannadiga,Non-Hate,Not_offensive
ext_00126,Super movie super songs,Non-Hate,Not_offensive
ext_00127,Idhu charitre srushtisuva avataara......,Non-Hate,Not_offensive
ext_00128,Super trailer praju Anna,Non-Hate,Not_offensive
ext_00129,@Nandi Parthasarathi nandini anta itkondidya nen hengsa🤣🤣nEllelo hogbeda matter bage matado childe....chanagiro film na chanagila antyala adrale gotagute enta kachda nenu anta bereourna aadre belsu ilwa tepug iru..nim appa amma nu bereourna tulkonde bandirbeku adke nenu hinge,Hate,Offensive_Targeted_Insult_Individual
ext_00130,Adu nambike ashte,Non-Hate,Not_offensive
ext_00131,Hlo bro... Even I uninstalled at stupid app...,Hate,Offensive_Targeted_Insult_Other
ext_00132,Bindhu gowda ge sariagi madidera,Hate,Offensive_Targeted_Insult_Individual
ext_00133,Copycat raja rakshith shetty,Hate,Offensive_Targeted_Insult_Individual
ext_00134,Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept,Non-Hate,Not_offensive
ext_00135,Bro yav game,Non-Hate,Not_offensive
ext_00136,Dislikers are not real kannadigas,Hate,Offensive_Targeted_Insult_Group
